epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.653069019317627,0.6995120048522949,0.6777949929237366,0.45581114292144775,0.47565269470214844,1.3569008111953735
1,0.660693883895874,0.7231389284133911,0.6528044939041138,0.48728814721107483,0.4873606562614441,0.9601004719734192
2,0.6673656105995178,0.7249565124511719,0.6481616497039795,0.48184019327163696,0.49320828914642334,0.9453960657119751
3,0.6686999797821045,0.7307112216949463,0.6446592211723328,0.5526634454727173,0.5150825381278992,0.9365745782852173
4,0.6709874272346497,0.7342464327812195,0.6396871209144592,0.5090798735618591,0.500469446182251,0.9736050963401794
5,0.6704155802726746,0.728900671005249,0.6446577906608582,0.5242130756378174,0.5066136121749878,0.8973358869552612
6,0.6721311211585999,0.730104923248291,0.6416309475898743,0.5460048317909241,0.5220962762832642,0.8494099974632263
7,0.670796811580658,0.733543872833252,0.642755925655365,0.537530243396759,0.5171338319778442,0.953392505645752
8,0.6727030277252197,0.7384741306304932,0.633720338344574,0.5363196134567261,0.5197789669036865,0.8400409817695618
9,0.6818528175354004,0.7410203814506531,0.6341060996055603,0.4981840252876282,0.5078147649765015,0.9083095192909241
10,0.669653058052063,0.7361910939216614,0.6359763145446777,0.4860774874687195,0.5023195147514343,0.8658682107925415
11,0.6795653700828552,0.7456091642379761,0.6294464468955994,0.5575060248374939,0.5331336259841919,0.8681360483169556
12,0.6803278923034668,0.737801194190979,0.6379644870758057,5e-06,0.4969733655452728,0.5132980346679688,0.8668366074562073
13,0.6776591539382935,0.7437888383865356,0.628263533115387,5e-06,0.49213075637817383,0.5135893821716309,0.9078067541122437
14,0.682615339756012,0.7474082708358765,0.6298512816429138,5e-06,0.5538740754127502,0.5329287052154541,0.841740071773529
15,0.6778497695922852,0.7464694380760193,0.6238186359405518,5e-06,0.5345036387443542,0.5268210172653198,0.8698918223381042
16,0.6818528175354004,0.751476526260376,0.6179395318031311,5e-06,0.4933414161205292,0.5124902725219727,0.9645477533340454
17,0.6818528175354004,0.7504298090934753,0.6201149821281433,2.5e-06,0.5338982939720154,0.5238994359970093,0.8826008439064026
