epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6803278923034668,0.771788477897644,0.5651111602783203,0.5605326890945435,0.5476990938186646,0.7536855340003967
1,0.6757529377937317,0.7621812224388123,0.5905375480651855,0.564769983291626,0.5532695651054382,0.9053428769111633
2,0.6742280125617981,0.7670085430145264,0.5626082420349121,0.5562953948974609,0.5460591316223145,0.8313634395599365
3,0.6906214356422424,0.7854610681533813,0.5474298596382141,0.5599273443222046,0.5441232919692993,0.8750132322311401
4,0.6974837779998779,0.7930983304977417,0.5354986190795898,0.5569007396697998,0.557845950126648,0.8107371926307678
5,0.700343132019043,0.7983190417289734,0.5310477614402771,0.5629540085792542,0.5575405359268188,1.00784432888031
6,0.6925276517868042,0.7942084074020386,0.5353400111198425,0.5605326890945435,0.5434862375259399,1.002440333366394
7,0.7011055946350098,0.8007268309593201,0.5314745306968689,0.5478208065032959,0.5443371534347534,0.7574413418769836
8,0.7100648283958435,0.8078923225402832,0.519521176815033,0.5617433190345764,0.5442618727684021,0.9083989262580872
9,0.696149468421936,0.7930716276168823,0.5416632294654846,0.5575060248374939,0.5651726722717285,0.7885988354682922
10,0.7014868259429932,0.8014112114906311,0.5290942788124084,0.5593220591545105,0.5742764472961426,0.8219324350357056
11,0.7072054743766785,0.8085914850234985,0.5157697796821594,0.5538740754127502,0.5529483556747437,0.8113289475440979
12,0.7255051732063293,0.8233212232589722,0.5098732113838196,0.5345036387443542,0.5329607725143433,0.9238373637199402
13,0.7157834768295288,0.8237541913986206,0.5045948624610901,0.5538740754127502,0.5648784041404724,0.9209985136985779
14,0.7104460597038269,0.8027710318565369,0.5471396446228027,0.5677965879440308,0.5751848220825195,0.9359368681907654
15,0.7140678763389587,0.8054423332214355,0.5900207161903381,0.5544794201850891,0.5801122188568115,0.8009539246559143
16,0.7333206534385681,0.8330590724945068,0.48904481530189514,0.5544794201850891,0.5810331702232361,0.9017840027809143
17,0.7371330261230469,0.844125509262085,0.4770545959472656,0.5520581007003784,0.571746826171875,0.8107098340988159
18,0.7514296770095825,0.8485418558120728,0.4721628427505493,0.5726392269134521,0.5995074510574341,0.7910682559013367
19,0.7418985962867737,0.8508871793746948,0.46910202503204346,0.5538740754127502,0.5767331123352051,0.8144059181213379
