epoch,accuracy,auc,loss,lr,val_accuracy,val_auc,val_loss
0,0.7668700218200684,0.8588711023330688,0.47578224539756775,5e-06,0.5920096635818481,0.6213527321815491,0.8528330326080322
1,0.7693480849266052,0.8650273084640503,0.46720582246780396,5e-06,0.5871670842170715,0.6332684755325317,0.8647224307060242
2,0.7865040302276611,0.8735074400901794,0.4540904760360718,5e-06,0.6041162014007568,0.6404081583023071,0.7880545854568481
3,0.7788791656494141,0.8757033348083496,0.44110816717147827,5e-06,0.5986682772636414,0.6367131471633911,0.8623472452163696
4,0.7933663725852966,0.8853194713592529,0.42486268281936646,5e-06,0.5944309830665588,0.6378830075263977,0.8246132731437683
5,0.8013724684715271,0.89286208152771,0.406270295381546,2.5e-06,0.5974576473236084,0.6393277645111084,0.9572612047195435
6,0.812619149684906,0.8973084688186646,0.4065125286579132,2.5e-06,0.6071428656578064,0.6421360969543457,0.950854480266571
7,0.8080441951751709,0.9003564715385437,0.39359262585639954,2.5e-06,0.6089588403701782,0.6436933875083923,0.9392014741897583
8,0.811475396156311,0.8995100259780884,0.3992021679878235,2.5e-06,0.5889830589294434,0.6421890258789062,1.057970404624939
9,0.8236751556396484,0.9072684049606323,0.384030282497406,2.5e-06,0.5920096635818481,0.6438595056533813,1.036858081817627
10,0.8183377981185913,0.9077236652374268,0.3872756361961365,2.5e-06,0.582929790019989,0.6396631002426147,0.9265633225440979
11,0.8387342691421509,0.9153432250022888,0.36778724193573,2.5e-06,0.6101694703102112,0.6445726156234741,1.0997976064682007
12,0.8225314617156982,0.9101535677909851,0.3784126043319702,2.5e-06,0.61077481508255,0.6504164934158325,0.9612634181976318
13,0.8356843590736389,0.9138073921203613,0.38021352887153625,2.5e-06,0.5714285969734192,0.6292344331741333,1.317331075668335
14,0.8349218368530273,0.9195847511291504,0.3610907793045044,2.5e-06,0.6192494034767151,0.6496773362159729,1.0821250677108765
15,0.8364468216896057,0.9187102913856506,0.3642868399620056,1.25e-06,0.582929790019989,0.6403723955154419,1.1449354887008667
16,0.8467403650283813,0.9243100881576538,0.3526712656021118,1.25e-06,0.5992736220359802,0.646909236907959,1.0586555004119873
17,0.8478841185569763,0.9290108680725098,0.33508703112602234,6.25e-07,0.5883777141571045,0.6414378881454468,1.1548688411712646
18,0.8482653498649597,0.9281986951828003,0.3379017114639282,6.25e-07,0.5895884037017822,0.6450151801109314,1.1563377380371094
