epoch,accuracy,auc,loss,lr,val_accuracy,val_auc,val_loss,phase_key,phase,epoch_in_phase,epoch_cum
3,0.7788791656494141,0.8757033348083496,0.4411081671714782,5e-06,0.5986682772636414,0.6367131471633911,0.8623472452163696,finetune,v5_finetune (8),3,29
4,0.7933663725852966,0.8853194713592529,0.4248626828193664,5e-06,0.5944309830665588,0.6378830075263977,0.8246132731437683,finetune,v5_finetune (8),4,30
5,0.8013724684715271,0.89286208152771,0.406270295381546,2.5e-06,0.5974576473236084,0.6393277645111084,0.9572612047195436,finetune,v5_finetune (8),5,31
6,0.812619149684906,0.8973084688186646,0.4065125286579132,2.5e-06,0.6071428656578064,0.6421360969543457,0.950854480266571,finetune,v5_finetune (8),6,32
7,0.8080441951751709,0.9003564715385437,0.3935926258563995,2.5e-06,0.6089588403701782,0.6436933875083923,0.9392014741897584,finetune,v5_finetune (8),7,33
8,0.811475396156311,0.8995100259780884,0.3992021679878235,2.5e-06,0.5889830589294434,0.6421890258789062,1.057970404624939,finetune,v5_finetune (8),8,34
9,0.8236751556396484,0.9072684049606324,0.384030282497406,2.5e-06,0.5920096635818481,0.6438595056533813,1.036858081817627,finetune,v5_finetune (8),9,35
10,0.8183377981185913,0.9077236652374268,0.3872756361961365,2.5e-06,0.582929790019989,0.6396631002426147,0.926563322544098,finetune,v5_finetune (8),10,36
11,0.8387342691421509,0.9153432250022888,0.36778724193573,2.5e-06,0.6101694703102112,0.6445726156234741,1.099797606468201,finetune,v5_finetune (8),11,37
12,0.8225314617156982,0.9101535677909852,0.3784126043319702,2.5e-06,0.61077481508255,0.6504164934158325,0.9612634181976318,finetune,v5_finetune (8),12,38
13,0.8356843590736389,0.9138073921203612,0.3802135288715362,2.5e-06,0.5714285969734192,0.6292344331741333,1.317331075668335,finetune,v5_finetune (8),13,39
14,0.8349218368530273,0.9195847511291504,0.3610907793045044,2.5e-06,0.6192494034767151,0.6496773362159729,1.0821250677108765,finetune,v5_finetune (8),14,40
15,0.8364468216896057,0.9187102913856506,0.3642868399620056,1.25e-06,0.582929790019989,0.6403723955154419,1.1449354887008667,finetune,v5_finetune (8),15,41
16,0.8467403650283813,0.9243100881576538,0.3526712656021118,1.25e-06,0.5992736220359802,0.646909236907959,1.0586555004119873,finetune,v5_finetune (8),16,42
17,0.8478841185569763,0.9290108680725098,0.3350870311260223,6.25e-07,0.5883777141571045,0.6414378881454468,1.1548688411712646,finetune,v5_finetune (8),17,43
18,0.8482653498649597,0.9281986951828004,0.3379017114639282,6.25e-07,0.5895884037017822,0.6450151801109314,1.1563377380371094,finetune,v5_finetune (8),18,44
0,0.8229126930236816,0.90410315990448,0.399800568819046,5e-06,0.6101694703102112,0.6468876600265503,1.0630820989608765,finetune_resume,v5_finetune_resume (10),0,45
1,0.8217689394950867,0.9095776081085204,0.3882469534873962,5e-06,0.59382563829422,0.6493122577667236,1.1024515628814695,finetune_resume,v5_finetune_resume (10),1,46
2,0.8358749747276306,0.9147039651870728,0.3823407590389251,5e-06,0.5805084705352783,0.6401049494743347,1.0940821170806885,finetune_resume,v5_finetune_resume (10),2,47
3,0.8347312211990356,0.9170939922332764,0.3691617548465729,5e-06,0.5889830589294434,0.633522629737854,1.1025028228759766,finetune_resume,v5_finetune_resume (10),3,48
4,0.8597026467323303,0.9342434406280518,0.32784104347229,2.5e-06,0.5774818658828735,0.6356774568557739,1.1539772748947144,finetune_resume,v5_finetune_resume (10),4,49
5,0.8534121513366699,0.9307942390441896,0.3346194922924042,2.5e-06,0.5920096635818481,0.6269104480743408,1.4051958322525024,finetune_resume,v5_finetune_resume (10),5,50
6,0.8637056946754456,0.936866044998169,0.3242312371730804,1.25e-06,0.5720338821411133,0.6315838098526001,1.4674875736236572,finetune_resume,v5_finetune_resume (10),6,51
7,0.8694243431091309,0.9433287382125854,0.3034341633319855,1.25e-06,0.5786924958229065,0.6365037560462952,1.3392115831375122,finetune_resume,v5_finetune_resume (10),7,52
