epoch,accuracy,auc,loss,lr,val_accuracy,val_auc,val_loss,phase_key,phase,epoch_in_phase,epoch_cum,group
0,0.7241182327270508,0.814144492149353,0.5717042684555054,0.0001,0.5823244452476501,0.621343731880188,0.7526811361312866,full,v6_full,0,0,v6
1,0.7224022746086121,0.8127522468566895,0.5656623244285583,0.0001,0.5490314960479736,0.5907933712005615,0.8500241041183472,full,v6_full,1,1,v6
2,0.7222116589546204,0.8184267282485962,0.5562125444412231,0.0001,0.5792978405952454,0.634968101978302,0.7707876563072205,full,v6_full,2,2,v6
3,0.7235462069511414,0.8185214996337891,0.5537019371986389,0.0001,0.5490314960479736,0.5614895820617676,1.1583008766174316,full,v6_full,3,3,v6
4,0.7372735738754272,0.8252424001693726,0.5486982464790344,0.0001,0.5605326890945435,0.5936613082885742,0.8482584953308105,full,v6_full,4,4,v6
5,0.7391801476478577,0.8334847688674927,0.5369962453842163,5e-05,0.5811138153076172,0.6304311156272888,0.7842046618461609,full,v6_full,5,5,v6
6,0.7477597594261169,0.8430505990982056,0.5258210301399231,5e-05,0.5671913027763367,0.6465843915939331,0.8024840950965881,full,v6_full,6,6,v6
7,0.7626310586929321,0.856782853603363,0.5086778402328491,5e-05,0.5714285969734192,0.6541204452514648,0.7974496483802795,full,v6_full,7,7,v6
8,0.7624404430389404,0.8578341007232666,0.50631183385849,5e-05,0.5998789072036743,0.649437427520752,0.8006376624107361,full,v6_full,8,8,v6
9,0.7723546028137207,0.8625079393386841,0.5011921525001526,5e-05,0.5968523025512695,0.6621527671813965,0.7611978650093079,full,v6_full,9,9,v6
10,0.7729265689849854,0.8643382787704468,0.4975708723068237,5e-05,0.5998789072036743,0.6600300073623657,0.7545220851898193,full,v6_full,10,10,v6
11,0.7788369655609131,0.8675556182861328,0.4963449239730835,5e-05,0.5895884037017822,0.6667940616607666,0.8380826711654663,full,v6_full,11,11,v6
12,0.7633937001228333,0.8561277985572815,0.5088546872138977,0.0001,0.5538740754127502,0.6326329112052917,1.0500568151474,full_resume,v6_full_resume,12,12,v6
13,0.7653002738952637,0.8618454933166504,0.5007737874984741,0.0001,0.6150121092796326,0.68992680311203,0.7850074172019958,full_resume,v6_full_resume,13,13,v6
14,0.7683508396148682,0.8624061346054077,0.4967225193977356,0.0001,0.5786924958229065,0.6651898622512817,0.7819530367851257,full_resume,v6_full_resume,14,14,v6
15,0.767588198184967,0.8602750301361084,0.5015268921852112,0.0001,0.592615008354187,0.6613897681236267,0.806656539440155,full_resume,v6_full_resume,15,15,v6
16,0.7914204001426697,0.8844447135925293,0.4682464003562927,5e-05,0.6113801598548889,0.6716678738594055,0.7752617597579956,full_resume,v6_full_resume,16,16,v6
17,0.7938989400863647,0.8870029449462891,0.4642270505428314,5e-05,0.5956416726112366,0.6430138349533081,0.8147208094596863,full_resume,v6_full_resume,17,17,v6
18,0.8026692271232605,0.8927947878837585,0.4567059874534607,2.5e-05,0.5980629324913025,0.6584272384643555,0.7815696597099304,full_resume,v6_full_resume,18,18,v6
19,0.8101048469543457,0.8984237313270569,0.4477681517601013,2.5e-05,0.5889830589294434,0.6706224679946899,0.8630527853965759,full_resume,v6_full_resume,19,19,v6
20,0.8108674883842468,0.903102159500122,0.4395339787006378,1.25e-05,0.5907990336418152,0.6660690903663635,0.8859087228775024,full_resume,v6_full_resume,20,20,v6
21,0.8198283910751343,0.9086307287216188,0.4313011169433594,1.25e-05,0.5768765211105347,0.6685726642608643,0.9481875896453856,full_resume,v6_full_resume,21,21,v6
0,0.816968560218811,0.9000239968299866,0.4075272679328918,2e-06,0.5907990336418152,0.663031280040741,1.088489055633545,finetune,v6_finetune,0,22,v6_finetune
1,0.8436606526374817,0.9204787015914916,0.3681190907955169,2e-06,0.6004842519760132,0.6734538674354553,0.9729111790657043,finetune,v6_finetune,1,23,v6_finetune
2,0.7998093366622925,0.8843753337860107,0.4597635269165039,2e-06,0.5871670842170715,0.6743509769439697,1.0255391597747805,finetune,v6_finetune,2,24,v6_finetune
3,0.8083889484405518,0.8859525918960571,0.4485268294811249,2e-06,0.5944309830665588,0.6653388738632202,0.9671350121498108,finetune,v6_finetune,3,25,v6_finetune
4,0.8211629986763,0.8976848125457764,0.4213135540485382,2e-06,0.5974576473236084,0.6675041913986206,0.9873278141021729,finetune,v6_finetune,4,26,v6_finetune
5,0.8131554126739502,0.898224949836731,0.4193157255649566,1e-06,0.59382563829422,0.6673827171325684,1.0208511352539062,finetune,v6_finetune,5,27,v6_finetune
6,0.8177312016487122,0.8995873928070068,0.4178694784641266,1e-06,0.5956416726112366,0.6638889312744141,0.9874285459518432,finetune,v6_finetune,6,28,v6_finetune
7,0.8036224842071533,0.894058108329773,0.4272929728031158,5e-07,0.582929790019989,0.6669110655784607,1.1522480249404907,finetune,v6_finetune,7,29,v6_finetune
8,0.8194471001625061,0.8989913463592529,0.4185681343078613,5e-07,0.5883777141571045,0.6694854497909546,1.085144281387329,finetune,v6_finetune,8,30,v6_finetune
