epoch,accuracy,auc,loss,lr,val_accuracy,val_auc,val_loss
0,0.6703526973724365,0.7494471669197083,0.6655195951461792,1e-04,0.5768765211105347,0.6146973371505737,0.8982237577438354
1,0.6596758961677551,0.7339869737625122,0.6982506513595581,1e-04,0.5466101765632629,0.5907009840011597,0.9998754262924194
2,0.6812202334403992,0.769885778427124,0.6081377863883972,1e-04,0.5684019327163696,0.6152188777923584,0.8416985869407654
3,0.6825548410415649,0.7755924463272095,0.5971426963806152,1e-04,0.5429782271385193,0.5898359417915344,0.8251736164093018
4,0.6762630939483643,0.769347071647644,0.6019325256347656,1e-04,0.5242130756378174,0.5753509402275085,1.0200555324554443
5,0.6852239966392517,0.7798536419868469,0.580322802066803,5e-05,0.5357142686843872,0.5848943591117859,1.0062193870544434
6,0.708293616771698,0.8002544641494751,0.5749063491821289,5e-05,0.5435835123062134,0.5961894989013672,0.9995188117027283
7,0.7092468738555908,0.8078660368919373,0.5616336464881897,2.5e-05,0.5411622524261475,0.6049072742462158,1.0060482025146484
8,0.7077216506004333,0.8138744831085205,0.548250138759613,2.5e-05,0.5544794201850891,0.6154863834381104,0.866277277469635
9,0.7283126711845398,0.8230031728744507,0.5401243567466736,2.5e-05,0.5296609997749329,0.5824213027954102,1.2004982233047485
10,0.7235462069511414,0.8212372660636902,0.5449147820472717,2.5e-05,0.5496367812156677,0.6041979193687439,0.9325113892555237
11,0.7267873883247375,0.8250957727432251,0.5355150103569031,1.25e-05,0.5363196134567261,0.5887688994407654,1.0752031803131104
12,0.7410867214202881,0.8399748802185059,0.5214468836784363,1.25e-05,0.5502421259880066,0.5949839353561401,1.0848424434661865
