epoch,accuracy,auc,loss,lr,val_accuracy,val_auc,val_loss
12,0.7633937001228333,0.8561277985572815,0.5088546872138977,1e-04,0.5538740754127502,0.6326329112052917,1.0500568151474
13,0.7653002738952637,0.8618454933166504,0.5007737874984741,1e-04,0.6150121092796326,0.68992680311203,0.7850074172019958
14,0.7683508396148682,0.8624061346054077,0.4967225193977356,1e-04,0.5786924958229065,0.6651898622512817,0.7819530367851257
15,0.767588198184967,0.8602750301361084,0.5015268921852112,1e-04,0.592615008354187,0.6613897681236267,0.806656539440155
16,0.7914204001426697,0.8844447135925293,0.4682464003562927,5e-05,0.6113801598548889,0.6716678738594055,0.7752617597579956
17,0.7938989400863647,0.8870029449462891,0.4642270505428314,5e-05,0.5956416726112366,0.6430138349533081,0.8147208094596863
18,0.8026692271232605,0.8927947878837585,0.4567059874534607,2.5e-05,0.5980629324913025,0.6584272384643555,0.7815696597099304
19,0.8101048469543457,0.8984237313270569,0.4477681517601013,2.5e-05,0.5889830589294434,0.6706224679946899,0.8630527853965759
20,0.8108674883842468,0.9031021595001221,0.4395339787006378,1.25e-05,0.5907990336418152,0.6660690903663635,0.8859087228775024
21,0.8198283910751343,0.9086307287216187,0.4313011169433594,1.25e-05,0.5768765211105347,0.6685726642608643,0.9481875896453857
