model,phase,epochs_run,best_epoch_in_phase,best_epoch_cum,best_val_auc,best_val_accuracy,best_val_loss
ResNet50,ResNet full,22,13,13,0.68992680311203,0.6150121092796326,0.7850074172019958
ResNet50,ResNet finetune,9,2,24,0.6743509769439697,0.5871670842170715,1.0255391597747805
VGG16,VGG16 full,17,3,3,0.6429922580718994,0.5847457647323608,1.0240918397903442
VGG16,VGG16 finetune,11,9,26,0.663748025894165,0.5641646385192871,1.8110671043395996
