phase,epochs_run,best_epoch_in_phase,best_epoch_cum,best_val_auc,best_val_accuracy,best_val_loss
v5,26,17,17,0.6431717872619629,0.6071428656578064,0.782863974571228
v5_finetune (8),19,12,38,0.6504164934158325,0.61077481508255,0.9612634181976318
v5_finetune_resume (10),8,1,46,0.6493122577667236,0.59382563829422,1.1024515628814695
